(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\NCR-HKL59E0D3TQ\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
24:45.5,35953404,4545,215539712,203,856416256, 
25:00.6,35953404,4549,215552000,203,856416256, 
25:15.6,35953404,4543,215535616,202,855367680, 
25:30.6,35953404,4548,215564288,203,856416256, 
25:45.5,35953404,4549,215588864,204,856743936, 
26:00.5,35953404,4544,215236608,202,854646784, 
26:15.6,35953404,4523,215531520,201,853590016, 
26:30.6,35953404,4545,215240704,202,855433216, 
26:45.5,35534152,4545,215674880,203,856481792, 
27:00.6,35534152,4549,215703552,204,856743936, 
27:15.6,35534152,4544,215367680,202,855433216, 
27:30.6,35534152,4548,215699456,203,856481792, 
27:45.5,35534152,4528,215670784,202,854638592, 
28:00.6,35534152,4546,215375872,203,855695360, 
28:15.6,35534152,4541,215666688,201,854384640, 
28:30.6,35534152,4545,215687168,202,855433216, 
28:45.6,35534152,4546,215396352,203,855760896, 
29:00.6,35534152,4545,215703552,202,855498752, 
29:15.5,35534152,4538,215474176,201,854450176, 
29:30.5,35762568,4538,215232512,202,855302144, 
29:45.6,35762568,4541,215556096,203,855564288, 
30:00.5,35762568,4545,215359488,204,857399296, 
30:15.6,35762568,4543,215572480,203,856350720, 
30:30.6, , , , , , 
30:45.6, , , , , , 
31:00.6, , , , , , 
31:15.6, , , , , , 
