(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\NCR-HKL59E0D3TQ\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
54:45.5,34519884,4531,216260608,203,855891968, 
55:00.6,34519884,4530,216244224,202,854843392, 
55:15.6,34519884,4532,215990272,202,855695360, 
55:30.6,34519884,4533,216260608,202,855695360, 
55:45.6,34724964,4516,216256512,202,854900736, 
56:00.6,34097136,4527,216391680,203,856211456, 
56:15.6,34237032,4536,204447744,202,854949888, 
56:30.6,34205236,4558,242704384,207,860733440, 
56:45.6,34331384,4572,213602304,204,860033024, 
57:00.6,34191812,4559,209010688,203,856133632, 
57:15.6,34306484,4597,214224896,208,861016064, 
57:30.6,34199744,4597,212852736,208,860942336, 
57:45.6,34430604,4618,240037888,206,859631616, 
58:00.6,34159792,4597,212672512,205,861970432, 
58:15.6,34350968,4626,207904768,206,859226112, 
58:30.6,34350968,4649,201940992,206,858304512, 
58:45.6,34151416,4638,240439296,208,861728768, 
59:00.6,34269424,4636,212353024,205,861974528, 
59:15.6,34142184,4648,208592896,205,857391104, 
59:30.6,35587132,4685,214327296,205,858656768, 
59:45.6,35689140,4679,214253568,205,858656768, 
00:00.6,35689140,4675,214593536,205,857870336, 
00:15.5,35689140,4675,214388736,204,857661440, 
00:30.6,35689140,4668,214294528,201,854515712, 
00:45.5,35689140,4655,214581248,201,854507520, 
01:00.6,35689140,4675,214626304,203,856612864, 
01:15.6,35689140,4675,214360064,204,857661440, 
01:30.6,35689140,4669,214347776,202,855564288, 
01:45.6,35689140,4673,214638592,203,856612864, 
02:00.6,35689140,4674,214634496,203,856612864, 
02:15.6,35885996,4673,214671360,203,855891968, 
02:30.6,35885996,4667,214310912,201,854581248, 
02:45.6,35885996,4672,214396928,202,855629824, 
03:00.6,35885996,4673,214687744,203,855891968, 
03:15.6,35885996,4670,214327296,201,854581248, 
03:30.6,35885996,4665,214417408,201,854581248, 
03:45.5,35885996,4673,214704128,203,855891968, 
04:00.6,35885996,4673,214380544,203,855891968, 
04:15.6,35885996,4673,214458368,203,855891968, 
04:30.6,35885996,4663,214683648,201,853794816, 
04:45.6,35614804,4662,214429696,203,855891968, 
05:00.6,35614804,4664,214757376,202,855629824, 
05:15.6,35614804,4668,214790144,204,857006080, 
05:30.6,35614804,4663,214458368,203,855957504, 
05:45.5,35614804,4667,214794240,203,856743936, 
06:00.6,35614804,4667,214552576,203,856743936, 
06:15.5,35614804,4666,214806528,203,855957504, 
06:30.5,35614804,4660,214773760,201,854646784, 
06:45.6,35614804,4665,214556672,202,855695360, 
07:00.5,35614804,4665,214798336,202,855695360, 
07:15.6,35614804,4666,214827008,203,855957504, 
07:30.6,35833448,4673,214687744,203,856743936, 
07:45.6,35833448,4681,214962176,204,857792512, 
08:00.6,35833448,4682,214994944,205,858120192, 
08:15.5,35833448,4682,214753280,205,858120192, 
08:30.6,35833448,4668,214568960,201,854712320, 
08:45.6,35833448,4673,214917120,202,855760896, 
09:00.6,35833448,4674,214945792,203,856023040, 
09:15.5,35833448,4684,214990848,205,858120192, 
09:30.6,35833448,4683,214704128,203,856809472, 
09:45.5,36008988,4684,215015424,205,858120192, 
10:00.6,35455796,4677,214843392,206,859750400, 
10:15.6,35455796,4698,214552576,205,857923584, 
10:30.5,35455796,4694,214769664,203,855826432, 
10:45.5,35455796,4698,214765568,203,856612864, 
11:00.6,35643972,4716,203075584,203,856064000, 
11:15.6,35643972,4725,203509760,202,854228992, 
11:30.5,35677184,4720,242085888,207,860733440, 
11:45.5,35594264,4691,212574208,205,861110272, 
12:00.5,35668492,4733,210608128,205,858226688, 
12:15.6,35681384,4740,208941056,207,860327936, 
12:30.6,36850508,4751,204275712,206,859291648, 
12:45.6,36946880,4772,210669568,207,860155904, 
13:00.6,36834980,4751,216264704,203,861585408, 
13:15.6,36886652,4758,210538496,203,856080384, 
13:30.6,34202756,4564,208605184,210,863506432, 
13:45.6,34360060,4545,202518528,205,857714688, 
14:00.6,34240192,4563,229818368,207,860418048, 
14:15.6,34473040,4581,212365312,207,862752768, 
14:30.5,34248616,4569,208424960,203,856469504, 
14:45.5,34448780,4580,208486400,203,855687168, 
15:00.6,34359240,4615,213872640,209,861671424, 
15:15.5,34252440,4614,213811200,207,860360704, 
15:30.5,34252440,4603,214065152,204,856420352, 
15:45.6,34627708,4641,203051008,204,856010752, 
16:00.6,34378868,4608,213569536,204,861470720, 
16:15.6,34483092,4618,208916480,202,855285760, 
16:30.6,34297576,4659,208011264,207,859095040, 
16:45.6,35296504,4712,214142976,213,865865728, 
17:00.5,35191748,4662,202813440,205,857649152, 
17:15.6,35397124,4711,203710464,203,854765568, 
17:30.6,35730280,4723,241463296,206,859238400, 
17:45.6,35290608,4652,211902464,205,860602368, 
18:00.6,35290608,4668,212905984,201,857190400, 
18:15.6,35203056,4699,209043456,205,857784320, 
18:30.6,36511188,4745,210812928,214,867700736, 
18:45.6,36608792,4718,204484608,204,856735744, 
19:00.5,36546848,4675,204476416,201,853454848, 
19:15.6,36546848,4667,204410880,199,851357696, 
19:30.5,36467436,4688,242122752,206,859238400, 
19:45.5,36571460,4690,213143552,204,859590656, 
20:00.6,36571460,4710,213000192,198,853299200, 
20:15.5,36705928,4710,210345984,201,853590016, 
20:30.6,38002632,4786,214638592,213,866652160, 
20:45.6,38002632,4792,217276416,210,862720000, 
21:00.6,37813328,4803,216526848,211,864030720, 
21:15.6,37813328,4794,216252416,209,862457856, 
21:30.5,38124088,4799,204988416,203,855752704, 
21:45.6,37900732,4773,205377536,200,851750912, 
22:00.5,37831040,4771,216768512,203,861175808, 
22:15.6,37757616,4769,214126592,203,858537984, 
22:30.5,37919432,4796,211488768,203,855687168, 
22:45.6,39193704,4850,213209088,212,865603584, 
23:00.6,39338468,4838,206622720,207,859160576, 
23:15.6,39428972,4838,214122496,203,855371776, 
23:30.6,39311112,4870,245211136,209,862384128, 
23:45.6,39078620,4838,215834624,206,861638656, 
24:00.5,39502352,4868,212746240,204,856735744, 
24:15.6,40409800,4903,214765568,211,863768576, 
24:30.6,40409800,4907,219754496,208,861409280, 
24:45.6,40409800,4907,220004352,207,859574272, 
25:00.6,40504944,4900,208232448,204,856801280, 
25:15.6,40488464,4894,208220160,203,854896640, 
25:30.6,40498208,4892,219537408,206,863510528, 
25:45.6,40633676,4899,213303296,204,856735744, 
26:00.5,36381764,4561,208502784,208,860794880, 
26:15.6,34499244,4572,214335488,208,861409280, 
26:30.6,34499244,4568,214536192,205,858263552, 
26:45.6,34499244,4564,214249472,205,857477120, 
27:00.5,34499244,4561,214491136,203,856166400, 
27:15.5,34645048,4564,214466560,202,855117824, 
27:30.6,34645048,4564,214216704,203,856166400, 
27:45.6,34645048,4566,214507520,204,856428544, 
28:00.6,34645048,4561,214138880,202,855117824, 
28:15.5,34645048,4566,214261760,203,856166400, 
28:30.6,34645048,4567,214523904,204,856428544, 
28:45.5,34645048,4564,214163456,202,855117824, 
29:00.5,34645048,4559,214237184,202,855183360, 
29:15.5,34645048,4567,214544384,204,856494080, 
29:30.5,34645048,4563,214167552,202,855183360, 
29:45.5,34864528,4564,214380544,203,855445504, 
30:00.5,34864528,4559,214614016,203,855445504, 
30:15.6,34864528,4563,214290432,203,856231936, 
30:30.6,34864528,4563,214384640,203,856231936, 
30:45.6,34864528,4564,214646784,204,856494080, 
31:00.6,34864528,4559,214294528,203,855445504, 
31:15.6,34864528,4563,214380544,202,855183360, 
31:30.6,34864528,4564,214646784,203,855445504, 
31:45.6,34864528,4565,214315008,203,855511040, 
32:00.6,34864528,4559,214347776,201,854200320, 
32:15.6,34864528,4564,214671360,203,855511040, 
32:30.6,34701468,4565,214355968,203,855511040, 
32:45.6,36381764,4515,214630400,203,855445504, 
33:00.6,36381764,4510,214585344,201,854134784, 
33:15.6,36381764,4516,214634496,203,855445504, 
