"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WIN-GD2MSP71P5I\.NET CLR Memory(TCPIPCommsService)\# Bytes in all Heaps","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Handle Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Private Bytes","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Thread Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Virtual Bytes"
"10/24/2018 15:53:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:02:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:03:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:03:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:03:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:03:32.652","0","322","23490560","12","172969984"
"10/24/2018 16:03:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:03:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:04:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:05:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:06:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:07:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:08:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:09:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:10:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:11:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:11:12.636","0","322","23556096","12","172969984"
"10/24/2018 16:11:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:11:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:11:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:11:52.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:02.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:12.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:12:52.636","0","322","23556096","12","172969984"
"10/24/2018 16:13:02.636","0","322","23556096","12","172969984"
"10/24/2018 16:13:12.652","0","322","23556096","12","172969984"
"10/24/2018 16:13:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:13:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:13:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:13:52.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:02.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:12.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:14:52.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:02.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:12.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:15:52.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:02.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:12.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:22.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:32.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:42.636","0","322","23556096","12","172969984"
"10/24/2018 16:16:52.652","0","322","23556096","12","172969984"
"10/24/2018 16:17:02.621","0","322","23556096","12","172969984"
"10/24/2018 16:17:12.621","0","322","23556096","12","172969984"
"10/24/2018 16:17:22.621","0","322","23556096","12","172969984"
"10/24/2018 16:17:32.621","0","322","23556096","12","172969984"
"10/24/2018 16:17:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:17:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:18:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:19:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:20:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:20:12.644","0","322","23556096","12","172969984"
"10/24/2018 16:20:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:20:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:20:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:20:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:21:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:21:12.628","0","322","23556096","12","172969984"
