(PDH-CSV 4.0) (India Standard Time)(-330),\\HYD-GOLCONDA\.NET CLR Memory(NCR.APTRA.CnsmrAppActivateEnterprise)\# Bytes in all Heaps,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Handle Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Private Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Thread Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Virtual Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Working Set - Private
03-01-19 12:38,30222836,4737,355106816,199,1252216832,282836992
03-01-19 12:38,30797764,4734,355024896,198,1250119680,282800128
03-01-19 12:38,30797764,4732,356593664,195,1246973952,283422720
03-01-19 12:38,30095140,4712,356270080,196,1247498240,283676672
03-01-19 12:38,20440040,4342,346693632,197,1251164160,279031808
03-01-19 12:38,20440040,4358,345956352,198,1251688448,278245376
03-01-19 12:38,20440040,4389,346169344,198,1252540416,278679552
03-01-19 12:38,20484736,4371,346247168,195,1251033088,278839296
03-01-19 12:38,21083148,4454,346701824,193,1249198080,279162880
03-01-19 12:38,20631088,4343,346800128,195,1251098624,279265280
03-01-19 12:39,20631088,4347,346701824,194,1249787904,279216128
03-01-19 12:39,20859756,4341,346660864,193,1245331456,279220224
03-01-19 12:39,20955220,4350,346660864,193,1245331456,279220224
03-01-19 12:39,20955220,4367,347627520,192,1244020736,279375872
03-01-19 12:39,20955220,4381,347701248,193,1245331456,279408640
03-01-19 12:39,20955220,4385,346288128,185,1234845696,278319104
03-01-19 12:39,20955220,4403,346488832,185,1234845696,278495232
03-01-19 12:39,21667468,4376,347205632,191,1242763264,278765568
03-01-19 12:39,21667468,4388,347504640,191,1242763264,279293952
03-01-19 12:39,21667468,4403,347521024,191,1242763264,279326720
03-01-19 12:39,21667468,4419,347144192,186,1236209664,279171072
03-01-19 12:39,21667468,4438,347148288,186,1236209664,279171072
03-01-19 12:40,21667468,4449,347140096,186,1236209664,279166976
03-01-19 12:40,21667468,4464,347140096,186,1236209664,279162880
03-01-19 12:40,21667468,4477,347140096,186,1236209664,279166976
03-01-19 12:40,21862388,4343,346370048,186,1236209664,278388736
03-01-19 12:40,21862388,4342,346427392,184,1233588224,278515712
03-01-19 12:40,21862388,4367,346861568,186,1236209664,278847488
03-01-19 12:40,21862388,4377,347025408,186,1236209664,279056384
03-01-19 12:40,21862388,4392,347025408,186,1236209664,279052288
03-01-19 12:40,21862388,4401,347025408,186,1236209664,279056384
03-01-19 12:40,21862388,4416,347066368,186,1236209664,279093248
03-01-19 12:40,21862388,4430,347066368,186,1236209664,279097344
03-01-19 12:40,21862388,4445,347066368,186,1236209664,279097344
03-01-19 12:41,21862388,4458,347066368,186,1236209664,279097344
03-01-19 12:41,21862388,4473,346435584,186,1236209664,278437888
03-01-19 12:41,21862388,4483,346705920,186,1236209664,278687744
03-01-19 12:41,21862388,4497,347000832,187,1236471808,278966272
03-01-19 12:41,21862388,4508,347058176,186,1236209664,279076864
03-01-19 12:41,21862388,4518,347058176,186,1236209664,279085056
03-01-19 12:41,21862388,4532,347090944,186,1236209664,279117824
03-01-19 12:41,21862388,4542,347156480,186,1236209664,279183360
03-01-19 12:41,21862388,4551,347013120,184,1233588224,279134208
03-01-19 12:41,21862388,4571,347160576,186,1236209664,279187456
03-01-19 12:41,21879264,4409,346640384,190,1241452544,278495232
03-01-19 12:41,21879264,4425,346816512,190,1241452544,278654976
03-01-19 12:42,21879264,4446,347086848,191,1242763264,278949888
03-01-19 12:42,21710996,4466,347787264,198,1251938304,279314432
03-01-19 12:42,21987280,4447,347729920,197,1251414016,279351296
03-01-19 12:42,21704920,4429,347803648,198,1252724736,279392256
03-01-19 12:42,21704920,4456,347877376,199,1253249024,279425024
03-01-19 12:42,22239432,4427,347766784,196,1250103296,279375872
03-01-19 12:42,22239432,4455,347836416,197,1250627584,279408640
03-01-19 12:42,21569532,4427,345423872,196,1250103296,276566016
03-01-19 12:42,24266796,4428,347131904,196,1249316864,276983808
03-01-19 12:42,23528984,4456,346804224,198,1251938304,276455424
03-01-19 12:42,23781412,4460,346820608,195,1247457280,276602880
03-01-19 12:42,23224808,4533,348004352,207,1263972352,277299200
03-01-19 12:43,23441000,4558,348372992,209,1273212928,277397504
03-01-19 12:43,23441000,4565,348356608,208,1265283072,277381120
03-01-19 12:43,23441000,4576,348524544,202,1256632320,277823488
03-01-19 12:43,23441000,4600,348524544,202,1256632320,277831680
03-01-19 12:43,24388880,4578,348753920,205,1260564480,277925888
03-01-19 12:43,25969656,4563,350203904,207,1263972352,278249472
03-01-19 12:43,25969656,4576,350121984,206,1261875200,278208512
03-01-19 12:43,25969656,4573,348942336,200,1254797312,277245952
03-01-19 12:43,25969656,4594,349147136,200,1254010880,277692416
03-01-19 12:43,25969656,4604,349442048,200,1254010880,277975040
03-01-19 12:43,25969656,4617,349605888,200,1254010880,278163456
03-01-19 12:43,25969656,4617,349458432,198,1251389440,278110208
03-01-19 12:44,25969656,4638,349458432,198,1251389440,278106112
03-01-19 12:44,25969656,4645,349376512,197,1250078720,278073344
03-01-19 12:44,25969656,4660,349376512,197,1250078720,278069248
03-01-19 12:44,25969656,4670,349376512,197,1250078720,278073344
03-01-19 12:44,25969656,4683,349237248,195,1247457280,278020096
03-01-19 12:44,25969656,4669,347963392,188,1238282240,277008384
03-01-19 12:44,25969656,4679,348131328,187,1236971520,277229568
03-01-19 12:44,25969656,4689,348418048,187,1236971520,277512192
03-01-19 12:44,25969656,4704,348475392,187,1236971520,277594112
03-01-19 12:44,25969656,4723,348545024,188,1238282240,277618688
03-01-19 12:44,25969656,4738,348545024,188,1238282240,277614592
03-01-19 12:44,25969656,4748,348585984,188,1238282240,277659648
03-01-19 12:45,25969656,4772,348590080,188,1238282240,277663744
03-01-19 12:45,25969656,4779,348590080,188,1238282240,277667840
03-01-19 12:45,25969656,4794,347893760,188,1238282240,276967424
03-01-19 12:45,25969656,4794,347893760,186,1235660800,277045248
03-01-19 12:45,25969656,4819,348340224,188,1238282240,277385216
03-01-19 12:45,25969656,4829,348626944,188,1238282240,277671936
03-01-19 12:45,25969656,4844,348700672,188,1238282240,277774336
03-01-19 12:45,25969656,4855,348692480,188,1238282240,277766144
03-01-19 12:45,25969656,4870,348692480,188,1238282240,277762048
03-01-19 12:45,25187100,4487,348696576,188,1238282240,277544960
03-01-19 12:45,25187100,4497,348622848,187,1236971520,277512192
03-01-19 12:45,25187100,4507,348622848,187,1236971520,277516288
03-01-19 12:46,25187100,4520,347795456,187,1236971520,276684800
03-01-19 12:46,25187100,4546,348082176,188,1238282240,276889600
03-01-19 12:46,25187100,4561,348340224,188,1238282240,277159936
03-01-19 12:46,25187100,4571,348553216,188,1238282240,277397504
03-01-19 12:46,25187100,4587,348545024,188,1238282240,277385216
03-01-19 12:46,25187100,4597,348549120,188,1238282240,277393408
03-01-19 12:46,25187100,4612,348581888,188,1238282240,277409792
03-01-19 12:46,25187100,4617,348430336,186,1235660800,277364736
03-01-19 12:46,25187100,4642,348577792,188,1238282240,277647360
03-01-19 12:46,25187100,4652,348577792,188,1238282240,277651456
03-01-19 12:46,25187100,4666,347865088,187,1236971520,276951040
03-01-19 12:46,25187100,4676,348094464,187,1236971520,277196800
03-01-19 12:47,25187100,4691,348397568,187,1236971520,277483520
03-01-19 12:47,25187100,4699,348618752,187,1236971520,277737472
03-01-19 12:47,25187100,4709,348549120,186,1235660800,277708800
03-01-19 12:47,25187100,4719,348549120,186,1235660800,277712896
03-01-19 12:47,25187100,4734,348549120,186,1235660800,277712896
03-01-19 12:47,25187100,4754,348618752,187,1236971520,277741568
03-01-19 12:47,25187100,4769,348618752,187,1236971520,277737472
03-01-19 12:47,25187100,4779,348618752,187,1236971520,277741568
03-01-19 12:47,25187100,4794,347881472,187,1236971520,276971520
03-01-19 12:47,25187100,4804,348102656,187,1236971520,277217280
03-01-19 12:47,25187100,4819,348397568,187,1236971520,277495808
03-01-19 12:47,25187100,4819,348471296,185,1234350080,277454848
03-01-19 12:48,25187100,4844,348618752,187,1236971520,277508096
03-01-19 12:48,25187100,4867,348631040,187,1236971520,277528576
03-01-19 12:48,25198268,4508,348590080,186,1236447232,277499904
03-01-19 12:48,25198268,4514,348590080,186,1235660800,277520384
03-01-19 12:48,25198268,4549,348655616,187,1237757952,277561344
03-01-19 12:48,25198268,4586,348991488,191,1242214400,277733376
03-01-19 12:48,25590876,4581,348360704,196,1248768000,276942848
03-01-19 12:48,25590876,4601,348397568,194,1246932992,277073920
03-01-19 12:48,25512988,4551,348798976,195,1248243712,277663744
03-01-19 12:48,25512988,4566,349102080,195,1247457280,277999616
03-01-19 12:48,25752148,4540,348418048,186,1236447232,277696512
03-01-19 12:48,25752148,4571,348487680,187,1236971520,277725184
03-01-19 12:49,26296764,4564,348712960,190,1241690112,277823488
03-01-19 12:49,26296764,4578,348786688,191,1242214400,277856256
03-01-19 12:49,26296764,4610,350339072,191,1243000832,279789568
03-01-19 12:49,26476036,4579,351973376,192,1243525120,281149440
03-01-19 12:49,26808228,4605,353099776,194,1246932992,281305088
03-01-19 12:49,27117416,4629,352522240,195,1247457280,280637440
03-01-19 12:49,27167976,4654,353812480,205,1263710208,281288704
03-01-19 12:49,26964700,4658,353931264,203,1257943040,281493504
03-01-19 12:49,26964700,4700,352698368,203,1258729472,281198592
03-01-19 12:49,26964700,4718,353460224,205,1260564480,281886720
03-01-19 12:49,26964700,4739,353079296,200,1254797312,281722880
03-01-19 12:49,27550676,4716,353460224,205,1260564480,281882624
03-01-19 12:50,29032604,4705,354844672,206,1262661632,281972736
