Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
78,2018-09-24T09:11:52.244,1702478000,735424500,86366020,5340,260
79,2018-09-24T09:12:50.488,1718166000,758038500,87524860,5459,267
80,2018-09-24T09:13:51.168,1720590000,760037400,88547180,5472,269
81,2018-09-24T09:14:49.374,1714123000,748576800,86324250,5454,267
82,2018-09-24T09:15:59.075,1718829000,758431700,88238050,5513,266
83,2018-09-24T09:16:56.717,1704952000,746364900,88230960,5360,258
84,2018-09-24T09:17:59.443,1723523000,765034500,88726780,5488,269
85,2018-09-24T09:19:48.941,1717314000,759001100,89701180,5460,267
86,2018-09-24T09:20:48.563,1719845000,754679800,87878820,5471,268
87,2018-09-24T09:21:51.892,1717445000,755068900,88265650,5473,267
88,2018-09-24T09:22:49.186,1725678000,762638300,88543430,5491,270
89,2018-09-24T09:23:45.857,1717772000,752521200,86327500,5468,266
90,2018-09-24T09:24:47.407,1707016000,743661600,87396740,5416,258
91,2018-09-24T09:25:43.890,1719935000,757329900,88311760,5479,268
92,2018-09-24T09:27:17.722,1719255000,758005800,88771810,5458,266
93,2018-09-24T09:29:51.094,1699365000,745820200,88877600,5286,257
94,2018-09-24T09:31:09.146,1716011000,755740700,88194540,5448,264
95,2018-09-24T09:32:36.312,1698464000,743145500,88776940,5350,253
96,2018-09-24T09:33:45.231,1707540000,748802000,88822590,5372,259
97,2018-09-24T09:34:50.766,1720918000,756473900,88609310,5466,269
98,2018-09-24T09:35:50.139,1717969000,754200600,88738640,5472,266
99,2018-09-24T09:37:01.657,1722737000,758870000,88764900,5525,267
100,2018-09-24T09:38:03.138,1724793000,762490900,89108480,5489,270
101,2018-09-24T09:39:07.125,1716228000,753102800,86202140,5473,266
102,2018-09-24T09:40:06.305,1724924000,758882300,86999100,5543,270
103,2018-09-24T09:49:48.102,1704583000,749056000,88377650,5355,255
104,2018-09-24T09:50:54.452,1720787000,757960700,86604380,5461,267
105,2018-09-24T09:52:10.156,1719681000,754339800,88130900,5467,267
106,2018-09-24T09:53:15.656,1723232000,763523100,88590610,5480,269
107,2018-09-24T09:54:25.454,1719329000,761294800,86561310,5476,264
108,2018-09-24T09:55:23.320,1710359000,752844800,88549980,5404,258
109,2018-09-24T09:56:30.040,1722171000,759840800,89190520,5484,268
110,2018-09-24T09:57:33.589,1723654000,760696800,88002320,5480,268
111,2018-09-24T09:58:30.487,1706635000,746508300,88237580,5397,259
112,2018-09-24T09:59:25.847,1705193000,744636400,89449060,5390,260
113,2018-09-24T10:01:25.899,1702101000,743542800,88048990,5349,254
114,2018-09-24T10:07:10.068,1717682000,761524200,88384480,5461,263
115,2018-09-24T10:08:05.998,1728504000,768938000,89751300,5495,269
116,2018-09-24T10:09:06.017,1723023000,763207700,88077260,5500,268
117,2018-09-24T10:10:17.797,1705558000,737300500,86248800,5395,258
118,2018-09-24T10:11:19.755,1722008000,756092900,87535630,5499,266
119,2018-09-24T10:12:16.107,1723015000,760352800,88475690,5485,268
120,2018-09-24T10:13:15.870,1708614000,743596000,87938140,5401,259
121,2018-09-24T10:14:11.517,1724916000,760127500,86601040,5490,268
122,2018-09-24T10:15:18.809,1721901000,756387800,87180670,5491,266
