(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
08-11-18 23:32:00,33702616,4019,152080384,202,735789056,82
08-11-18 23:37:00,33702616,4019,152084480,202,735789056,83
08-11-18 23:42:00,33702616,4017,151969792,201,734740480,84
08-11-18 23:47:00,33702616,4020,151724032,201,734740480,85
08-11-18 23:52:00,33702616,4021,152088576,202,735002624,86
08-11-18 23:57:00,33702616,4020,152076288,201,734740480,87
09-11-18 02:00,33702616,4015,152072192,201,734740480,88
09-11-18 07:00,33702616,4021,152100864,202,735789056,89
09-11-18 12:00,33702616,4021,152100864,202,735789056,90
09-11-18 17:00,33702616,4005,152100864,202,734994432,91
09-11-18 22:00,33702616,4017,152084480,201,734740480,92
09-11-18 27:00,33702616,4005,152010752,202,734994432,93
09-11-18 32:00,33702616,4022,152014848,202,735789056,94
09-11-18 37:00,33702616,4022,152109056,202,735002624,95
09-11-18 42:00,32975896,3986,144035840,202,734208000,96
09-11-18 47:00,32975896,4046,146976768,212,746340352,97
09-11-18 52:00,32975896,4044,153231360,213,746471424,98
09-11-18 57:00,33523672,4042,153608192,212,746209280,99
09-11-18 02:00,33523672,4026,153341952,204,737026048,100
09-11-18 07:00,33523672,4048,153366528,205,738869248,101
09-11-18 12:00,33523672,4049,153481216,206,739131392,102
09-11-18 17:00,33523672,4044,153444352,204,737820672,103
09-11-18 22:00,33523672,4042,153423872,203,736772096,104
09-11-18 27:00,33523672,4047,153440256,204,737820672,105
09-11-18 32:00,33523672,4047,153444352,204,737820672,106
09-11-18 37:00,33523672,4049,153464832,205,738082816,107
09-11-18 42:00,33523672,4028,153423872,203,735977472,108
09-11-18 47:00,33523672,4054,153468928,205,738082816,109
09-11-18 52:00,33523672,4051,153333760,203,736772096,110
09-11-18 57:00,33523672,4052,153448448,204,737034240,111
09-11-18 02:00,33523672,4046,153407488,202,735723520,112
09-11-18 07:00,33523672,4051,153436160,203,736772096,113
09-11-18 12:00,33523672,4051,153436160,203,736772096,114
09-11-18 17:00,33523672,4051,153071616,204,737820672,115
09-11-18 22:00,33523672,4049,153452544,204,737034240,116
09-11-18 27:00,33523672,4054,153477120,205,738082816,117
09-11-18 32:00,33523672,4054,153477120,205,738082816,118
09-11-18 37:00,33523672,4036,153366528,204,737026048,119
09-11-18 42:00,33523672,4049,153460736,204,737034240,120
09-11-18 47:00,33782236,4052,153464832,204,737820672,121
09-11-18 52:00,33782236,4051,153448448,203,736772096,122
09-11-18 57:00,33782236,4050,153100288,203,736772096,123
09-11-18 02:00,33782236,4045,153047040,202,735723520,124
09-11-18 07:00,33782236,4051,153468928,204,737034240,125
09-11-18 12:00,33782236,4048,153452544,203,735985664,126
09-11-18 17:00,33782236,4048,153452544,203,735985664,127
09-11-18 22:00,33782236,4043,153436160,202,734937088,128
09-11-18 27:00,33782236,4044,153432064,202,735723520,129
09-11-18 32:00,33782236,4044,153104384,202,735723520,130
09-11-18 37:00,33782236,4046,153440256,202,735789056,131
09-11-18 42:00,33782236,4041,153071616,201,734740480,132
